more than 	 超过
thousand 	 一千
kilometre 	 千米,公里
something 	 某事物,某种东西
million 	 百万
map 	 地图
right 	 正确的
country 	 国家
dancing 	 跳舞,舞蹈
Chinatown 	 唐人街,中国城
sometimes 	 有时
shop 	 商店
then 	 既然是这样,那么
ah 	 啊
strong 	 坚固的
collect 	 收集
stamp 	 邮票
hobby 	 业余爱好
doll 	 玩具娃娃
bicycle 	 自行车
Thanksgiving(Thanksgiving Day)	 感恩节
flag 	 旗;国旗
Flag Day	(美国)国旗制定纪念日
fly  	  (使)(旗帜)飘扬
special 	 特殊的,特别的
meal 	 餐
sound 	 听起来
football  	  (美式)橄榄球
moon cake 	 月饼
the Mid	Autumn Festival	中秋节
the Dragon Boat Festival	端午节
race	 比赛,竞赛
lantern 	 灯笼
the Lantern Festival	元宵节
hang 	 悬挂,吊
pen friend 	 笔友
Pleased to meet you	很高兴见到你
address 	 地址
French 	 法语
age 	 年龄
story 	 故事
candy 	 糖果
world 	 世界
often 	 经常
difficult 	 困难的
knife 	 餐刀;刀子
fork 	 餐刀;叉
chopsticks  	  (常复)筷子
Japanese 	 日本的
believe 	 相信
snake 	 蛇
DVD	数字化视频光盘,DVD光盘
together 	 一起,共同
lucky 	 幸运的
bamboo 	 竹子
its 	 它的
body 	 身体
come out of 	 从……中出来
flute 	 笛子
get 	 变得,变成
frightened 	 恐惧的,害怕的
long ago  	 很久以前
I’d love to	我很乐意
not really 	 不全是,事实上没有
stop 	  (使)停止
clean 	 打扫,(使)清洁
camera 	 照相机
show 	 把……给(某人)看
never 	 从不
around 	 在四周,到处
all around 	 到处,遍及
member state 	 成员国
inside  	 向室内,向里面
should 	 应该
line 	  (等候的)长队,队列
stand in line 	 排队
close 	 关门,关闭
librarian 	 图书馆管理员
rule 	 规定,规章
quiet 	 安静的
problem 	 麻烦,困难,问题
No problem	没问题
cross 	 穿过(马路等);渡过(河)
